Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               200000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	150000	-15.057966	-15.057966
1	0.950747	150000	-15.098912	-30.156877
2	0.926679	150000	-14.841658	-44.998535
3	0.902980	150000	-14.601125	-59.599660
4	0.879648	150000	-14.410098	-74.009757
5	0.856682	150000	-14.138626	-88.148383
6	0.834079	150000	-13.946705	-102.095088
7	0.811838	150000	-13.668470	-115.763558
8	0.789957	150000	-13.488524	-129.252083
9	0.768433	150000	-13.271528	-142.523611
10	0.747266	150000	-13.171472	-155.695083
11	0.726452	150000	-12.861506	-168.556589
12	0.705989	150000	-12.722183	-181.278772
13	0.685877	150000	-12.448084	-193.726856
14	0.666112	150000	-12.219922	-205.946778
15	0.646693	150000	-12.079538	-218.026316
16	0.627618	150000	-11.795851	-229.822168
17	0.608884	150000	-11.612810	-241.434977
18	0.590490	150000	-11.432765	-252.867742
19	0.572433	150000	-11.204263	-264.072006
20	0.554712	150000	-11.014454	-275.086459
21	0.537324	150000	-10.870820	-285.957279
22	0.520268	150000	-10.673755	-296.631034
23	0.503540	150000	-10.459240	-307.090274
24	0.487139	150000	-10.297585	-317.387858
25	0.471063	150000	-10.253045	-327.640903
26	0.455310	150000	-9.903644	-337.544547
27	0.439877	150000	-9.843969	-347.388517
28	0.424762	150000	-9.540929	-356.929446
29	0.409963	150000	-9.377350	-366.306796
30	0.395478	150000	-9.205655	-375.512451
31	0.381305	150000	-8.945416	-384.457867
32	0.367440	150000	-8.962538	-393.420405
33	0.353883	150000	-8.603275	-402.023680
34	0.340630	150000	-8.739367	-410.763047
35	0.327680	150000	-8.439337	-419.202384
36	0.315030	150000	-8.407946	-427.610330
37	0.302677	150000	-8.220790	-435.831120
38	0.290619	150000	-7.746441	-443.577562
39	0.278855	150000	-7.836476	-451.414038
40	0.267381	150000	-7.549633	-458.963671
41	0.256195	150000	-7.507550	-466.471221
42	0.245294	150000	-7.270757	-473.741978
43	0.234677	150000	-7.119121	-480.861099
44	0.224340	150000	-6.829965	-487.691063
45	0.214281	150000	-6.920526	-494.611589
46	0.204498	150000	-6.723701	-501.335290
47	0.194988	150000	-6.394769	-507.730059
48	0.185749	150000	-6.304652	-514.034711
49	0.176777	150000	-6.559691	-520.594402
50	0.168070	150000	-5.800260	-526.394662
51	0.159626	150000	-5.851424	-532.246086
52	0.151441	150000	-5.616157	-537.862243
53	0.143514	150000	-5.723732	-543.585975
54	0.135841	150000	-5.486849	-549.072824
55	0.128420	150000	-5.563274	-554.636098
56	0.121247	150000	-5.343193	-559.979291
57	0.114320	150000	-5.080553	-565.059844
58	0.107637	150000	-4.770147	-569.829990
59	0.101193	150000	-4.836025	-574.666015
60	0.094986	150000	-4.720100	-579.386115
61	0.089014	150000	-4.511536	-583.897651
62	0.083273	150000	-4.409628	-588.307279
63	0.077760	150000	-4.241355	-592.548634
64	0.072472	150000	-4.132120	-596.680754
65	0.067406	150000	-3.988914	-600.669668
66	0.062558	150000	-3.835019	-604.504687
67	0.057926	150000	-3.644988	-608.149675
68	0.053506	150000	-3.535082	-611.684757
69	0.049295	150000	-3.387194	-615.071951
70	0.045289	150000	-3.195737	-618.267688
71	0.041485	150000	-3.118209	-621.385897
72	0.037880	150000	-2.927951	-624.313848
73	0.034469	150000	-2.812550	-627.126398
74	0.031250	150000	-2.618852	-629.745250
75	0.028218	150000	-2.471480	-632.216730
76	0.025370	150000	-2.361131	-634.577861
77	0.022702	150000	-2.254656	-636.832517
78	0.020209	150000	-2.126887	-638.959404
79	0.017889	150000	-2.015076	-640.974480
80	0.015736	150000	-1.884196	-642.858676
81	0.013746	150000	-1.756660	-644.615337
82	0.011916	150000	-1.595264	-646.210601
83	0.010240	150000	-1.550928	-647.761529
84	0.008714	150000	-1.436443	-649.197972
85	0.007334	150000	-1.311734	-650.509706
86	0.006093	150000	-1.250089	-651.759795
87	0.004988	150000	-1.221709	-652.981505
88	0.004013	150000	-1.156455	-654.137959
89	0.003162	150000	-0.975324	-655.113283
90	0.002430	150000	-1.070749	-656.184032
91	0.001810	150000	-0.923925	-657.107957
92	0.001296	150000	-0.814805	-657.922762
93	0.000882	150000	-0.657780	-658.580542
94	0.000559	150000	-0.526326	-659.106868
95	0.000320	150000	-0.451525	-659.558393
96	0.000156	150000	-0.289972	-659.848365
97	0.000057	150000	-0.179750	-660.028115
98	0.000010	150000	-0.085551	-660.113666
99	0.000000	150000	-0.018653	-660.132319
Log marginal likelihood:	-660.132319
