Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               200000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	150000	-15.510772	-15.510772
1	0.950747	150000	-14.766520	-30.277292
2	0.926679	150000	-14.417193	-44.694484
3	0.902980	150000	-14.747938	-59.442422
4	0.879648	150000	-14.458481	-73.900903
5	0.856682	150000	-14.268648	-88.169551
6	0.834079	150000	-13.630482	-101.800033
7	0.811838	150000	-13.446215	-115.246248
8	0.789957	150000	-13.667998	-128.914245
9	0.768433	150000	-13.378402	-142.292648
10	0.747266	150000	-13.256115	-155.548763
11	0.726452	150000	-12.846807	-168.395569
12	0.705989	150000	-12.316551	-180.712120
13	0.685877	150000	-12.274720	-192.986840
14	0.666112	150000	-12.454551	-205.441390
15	0.646693	150000	-12.196719	-217.638109
16	0.627618	150000	-11.961331	-229.599440
17	0.608884	150000	-11.713913	-241.313352
18	0.590490	150000	-11.582036	-252.895388
19	0.572433	150000	-11.352730	-264.248118
20	0.554712	150000	-11.144386	-275.392504
21	0.537324	150000	-10.969287	-286.361791
22	0.520268	150000	-10.730112	-297.091903
23	0.503540	150000	-10.388689	-307.480592
24	0.487139	150000	-10.393151	-317.873743
25	0.471063	150000	-10.127336	-328.001079
26	0.455310	150000	-9.985240	-337.986319
27	0.439877	150000	-9.759056	-347.745375
28	0.424762	150000	-9.538046	-357.283421
29	0.409963	150000	-9.409557	-366.692979
30	0.395478	150000	-9.148850	-375.841829
31	0.381305	150000	-8.935389	-384.777217
32	0.367440	150000	-8.762834	-393.540052
33	0.353883	150000	-8.571202	-402.111254
34	0.340630	150000	-8.399908	-410.511162
35	0.327680	150000	-8.215774	-418.726935
36	0.315030	150000	-8.042112	-426.769047
37	0.302677	150000	-7.852818	-434.621865
38	0.290619	150000	-7.721613	-442.343478
39	0.278855	150000	-7.730563	-450.074041
40	0.267381	150000	-7.514327	-457.588368
41	0.256195	150000	-7.163141	-464.751509
42	0.245294	150000	-7.019541	-471.771050
43	0.234677	150000	-6.779316	-478.550366
44	0.224340	150000	-6.663517	-485.213883
45	0.214281	150000	-6.461618	-491.675501
46	0.204498	150000	-6.312560	-497.988061
47	0.194988	150000	-6.113103	-504.101164
48	0.185749	150000	-5.990652	-510.091815
49	0.176777	150000	-5.849725	-515.941541
50	0.168070	150000	-5.647046	-521.588586
51	0.159626	150000	-5.602509	-527.191095
52	0.151441	150000	-5.350856	-532.541952
53	0.143514	150000	-5.166555	-537.708506
54	0.135841	150000	-5.003927	-542.712433
55	0.128420	150000	-4.910738	-547.623171
56	0.121247	150000	-4.718499	-552.341670
57	0.114320	150000	-4.598412	-556.940082
58	0.107637	150000	-4.544921	-561.485003
59	0.101193	150000	-4.298854	-565.783857
60	0.094986	150000	-4.148802	-569.932659
61	0.089014	150000	-4.016923	-573.949581
62	0.083273	150000	-4.250789	-578.200370
63	0.077760	150000	-4.210085	-582.410455
64	0.072472	150000	-3.912009	-586.322465
65	0.067406	150000	-3.546515	-589.868980
66	0.062558	150000	-3.603808	-593.472788
67	0.057926	150000	-3.363290	-596.836078
68	0.053506	150000	-3.433527	-600.269605
69	0.049295	150000	-3.383959	-603.653564
70	0.045289	150000	-3.256945	-606.910509
71	0.041485	150000	-3.086407	-609.996915
72	0.037880	150000	-2.949327	-612.946242
73	0.034469	150000	-2.928053	-615.874294
74	0.031250	150000	-2.798266	-618.672561
75	0.028218	150000	-2.653596	-621.326157
76	0.025370	150000	-2.747522	-624.073678
77	0.022702	150000	-2.540778	-626.614456
78	0.020209	150000	-3.000749	-629.615205
79	0.017889	150000	-2.831942	-632.447147
80	0.015736	150000	-3.059981	-635.507129
81	0.013746	150000	-2.771198	-638.278327
82	0.011916	150000	-2.672734	-640.951060
83	0.010240	150000	-2.522815	-643.473876
84	0.008714	150000	-2.332612	-645.806488
85	0.007334	150000	-2.091063	-647.897551
86	0.006093	150000	-1.975464	-649.873015
87	0.004988	150000	-1.751563	-651.624578
88	0.004013	150000	-1.594345	-653.218923
89	0.003162	150000	-1.416078	-654.635001
90	0.002430	150000	-1.290720	-655.925721
91	0.001810	150000	-1.110837	-657.036558
92	0.001296	150000	-0.981639	-658.018197
93	0.000882	150000	-0.834751	-658.852948
94	0.000559	150000	-0.671286	-659.524234
95	0.000320	150000	-0.513686	-660.037920
96	0.000156	150000	-0.423531	-660.461451
97	0.000057	150000	-0.397743	-660.859194
98	0.000010	150000	-0.371493	-661.230687
99	0.000000	150000	-0.140859	-661.371545
Log marginal likelihood:	-661.371545
