Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               200000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	150000	-16.052569	-16.052569
1	0.950747	150000	-15.798373	-31.850943
2	0.926679	150000	-15.560556	-47.411499
3	0.902980	150000	-15.189932	-62.601431
4	0.879648	150000	-14.909128	-77.510559
5	0.856682	150000	-14.650680	-92.161239
6	0.834079	150000	-14.440712	-106.601950
7	0.811838	150000	-14.147346	-120.749297
8	0.789957	150000	-13.567635	-134.316932
9	0.768433	150000	-13.091371	-147.408303
10	0.747266	150000	-12.805120	-160.213423
11	0.726452	150000	-12.593559	-172.806983
12	0.705989	150000	-12.392409	-185.199391
13	0.685877	150000	-12.410582	-197.609973
14	0.666112	150000	-12.185795	-209.795768
15	0.646693	150000	-11.935924	-221.731692
16	0.627618	150000	-11.812034	-233.543727
17	0.608884	150000	-11.608889	-245.152616
18	0.590490	150000	-11.520410	-256.673026
19	0.572433	150000	-11.274345	-267.947371
20	0.554712	150000	-10.976980	-278.924351
21	0.537324	150000	-10.938193	-289.862543
22	0.520268	150000	-10.713570	-300.576113
23	0.503540	150000	-10.415264	-310.991378
24	0.487139	150000	-10.167967	-321.159345
25	0.471063	150000	-10.058046	-331.217391
26	0.455310	150000	-9.842203	-341.059593
27	0.439877	150000	-9.581084	-350.640678
28	0.424762	150000	-9.400660	-360.041338
29	0.409963	150000	-9.194478	-369.235815
30	0.395478	150000	-8.993550	-378.229365
31	0.381305	150000	-8.838316	-387.067681
32	0.367440	150000	-8.641017	-395.708698
33	0.353883	150000	-8.520087	-404.228785
34	0.340630	150000	-8.314689	-412.543474
35	0.327680	150000	-8.056482	-420.599955
36	0.315030	150000	-7.895755	-428.495711
37	0.302677	150000	-7.790611	-436.286322
38	0.290619	150000	-7.567171	-443.853493
39	0.278855	150000	-7.420039	-451.273532
40	0.267381	150000	-7.179110	-458.452642
41	0.256195	150000	-7.334459	-465.787101
42	0.245294	150000	-7.235710	-473.022811
43	0.234677	150000	-6.885835	-479.908645
44	0.224340	150000	-6.524022	-486.432668
45	0.214281	150000	-6.316888	-492.749556
46	0.204498	150000	-6.438089	-499.187645
47	0.194988	150000	-6.388210	-505.575855
48	0.185749	150000	-6.137283	-511.713138
49	0.176777	150000	-5.898226	-517.611364
50	0.168070	150000	-5.821547	-523.432911
51	0.159626	150000	-5.671948	-529.104860
52	0.151441	150000	-5.656555	-534.761415
53	0.143514	150000	-5.520948	-540.282363
54	0.135841	150000	-5.275245	-545.557608
55	0.128420	150000	-5.086922	-550.644530
56	0.121247	150000	-4.929767	-555.574297
57	0.114320	150000	-4.728361	-560.302658
58	0.107637	150000	-4.701126	-565.003784
59	0.101193	150000	-4.568063	-569.571846
60	0.094986	150000	-4.341896	-573.913742
61	0.089014	150000	-4.205322	-578.119064
62	0.083273	150000	-4.066457	-582.185521
63	0.077760	150000	-3.977707	-586.163229
64	0.072472	150000	-3.866974	-590.030203
65	0.067406	150000	-3.699106	-593.729308
66	0.062558	150000	-3.554733	-597.284041
67	0.057926	150000	-3.509005	-600.793047
68	0.053506	150000	-3.257346	-604.050393
69	0.049295	150000	-3.171948	-607.222341
70	0.045289	150000	-3.121149	-610.343490
71	0.041485	150000	-2.963689	-613.307179
72	0.037880	150000	-3.178263	-616.485442
73	0.034469	150000	-3.178368	-619.663810
74	0.031250	150000	-2.934826	-622.598636
75	0.028218	150000	-2.866742	-625.465378
76	0.025370	150000	-3.225468	-628.690846
77	0.022702	150000	-3.444501	-632.135348
78	0.020209	150000	-3.361407	-635.496755
79	0.017889	150000	-3.218714	-638.715469
80	0.015736	150000	-3.012119	-641.727588
81	0.013746	150000	-2.879955	-644.607544
82	0.011916	150000	-2.717688	-647.325231
83	0.010240	150000	-2.501828	-649.827060
84	0.008714	150000	-2.322217	-652.149277
85	0.007334	150000	-2.094039	-654.243316
86	0.006093	150000	-1.930414	-656.173730
87	0.004988	150000	-1.748897	-657.922627
88	0.004013	150000	-1.625186	-659.547813
89	0.003162	150000	-1.442687	-660.990499
90	0.002430	150000	-1.300634	-662.291133
91	0.001810	150000	-1.127421	-663.418555
92	0.001296	150000	-0.952809	-664.371364
93	0.000882	150000	-0.809823	-665.181187
94	0.000559	150000	-0.649342	-665.830529
95	0.000320	150000	-0.503982	-666.334510
96	0.000156	150000	-0.395409	-666.729919
97	0.000057	150000	-0.404241	-667.134161
98	0.000010	150000	-0.408484	-667.542645
99	0.000000	150000	-0.147212	-667.689857
Log marginal likelihood:	-667.689857
