Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000001
        It Per Stone:               200000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	150000	-15.004432	-15.004432
1	0.950747	150000	-14.615331	-29.619764
2	0.926679	150000	-14.434877	-44.054641
3	0.902980	150000	-14.378440	-58.433081
4	0.879648	150000	-14.248970	-72.682051
5	0.856682	150000	-14.006280	-86.688331
6	0.834079	150000	-13.800583	-100.488914
7	0.811838	150000	-13.572489	-114.061403
8	0.789957	150000	-13.357092	-127.418495
9	0.768433	150000	-13.153670	-140.572165
10	0.747266	150000	-12.924220	-153.496385
11	0.726452	150000	-12.746134	-166.242519
12	0.705989	150000	-12.519088	-178.761607
13	0.685877	150000	-12.270918	-191.032525
14	0.666112	150000	-12.080908	-203.113433
15	0.646693	150000	-11.871050	-214.984484
16	0.627618	150000	-11.663603	-226.648087
17	0.608884	150000	-11.486505	-238.134592
18	0.590490	150000	-11.324494	-249.459086
19	0.572433	150000	-11.054120	-260.513206
20	0.554712	150000	-10.886004	-271.399210
21	0.537324	150000	-10.644999	-282.044208
22	0.520268	150000	-10.475416	-292.519625
23	0.503540	150000	-10.271199	-302.790824
24	0.487139	150000	-10.029999	-312.820823
25	0.471063	150000	-9.842921	-322.663744
26	0.455310	150000	-9.697643	-332.361387
27	0.439877	150000	-9.457877	-341.819264
28	0.424762	150000	-9.277308	-351.096573
29	0.409963	150000	-9.121340	-360.217913
30	0.395478	150000	-8.933593	-369.151506
31	0.381305	150000	-9.153162	-378.304668
32	0.367440	150000	-9.039700	-387.344368
33	0.353883	150000	-8.806940	-396.151308
34	0.340630	150000	-8.593980	-404.745288
35	0.327680	150000	-8.265446	-413.010733
36	0.315030	150000	-8.088531	-421.099264
37	0.302677	150000	-7.854516	-428.953780
38	0.290619	150000	-7.761788	-436.715568
39	0.278855	150000	-7.565702	-444.281270
40	0.267381	150000	-7.307836	-451.589106
41	0.256195	150000	-7.168654	-458.757760
42	0.245294	150000	-6.987546	-465.745306
43	0.234677	150000	-6.777305	-472.522611
44	0.224340	150000	-6.709640	-479.232251
45	0.214281	150000	-6.487776	-485.720027
46	0.204498	150000	-6.333478	-492.053505
47	0.194988	150000	-6.187741	-498.241247
48	0.185749	150000	-6.095876	-504.337123
49	0.176777	150000	-5.907588	-510.244711
50	0.168070	150000	-5.818161	-516.062872
51	0.159626	150000	-5.550988	-521.613859
52	0.151441	150000	-5.322424	-526.936284
53	0.143514	150000	-5.265549	-532.201833
54	0.135841	150000	-5.290201	-537.492034
55	0.128420	150000	-5.235325	-542.727359
56	0.121247	150000	-5.078953	-547.806312
57	0.114320	150000	-4.907465	-552.713778
58	0.107637	150000	-4.717840	-557.431618
59	0.101193	150000	-4.582430	-562.014048
60	0.094986	150000	-4.298986	-566.313034
61	0.089014	150000	-4.192937	-570.505971
62	0.083273	150000	-4.172757	-574.678728
63	0.077760	150000	-4.047865	-578.726593
64	0.072472	150000	-3.775492	-582.502085
65	0.067406	150000	-3.672485	-586.174570
66	0.062558	150000	-3.678137	-589.852707
67	0.057926	150000	-3.460690	-593.313397
68	0.053506	150000	-3.286841	-596.600238
69	0.049295	150000	-3.329636	-599.929874
70	0.045289	150000	-3.336099	-603.265973
71	0.041485	150000	-3.303610	-606.569583
72	0.037880	150000	-3.144352	-609.713935
73	0.034469	150000	-3.193351	-612.907286
74	0.031250	150000	-2.915133	-615.822420
75	0.028218	150000	-2.824796	-618.647216
76	0.025370	150000	-2.780953	-621.428168
77	0.022702	150000	-2.634607	-624.062775
78	0.020209	150000	-2.450304	-626.513080
79	0.017889	150000	-3.081172	-629.594251
80	0.015736	150000	-2.707004	-632.301255
81	0.013746	150000	-2.934567	-635.235822
82	0.011916	150000	-2.755593	-637.991415
83	0.010240	150000	-2.509155	-640.500570
84	0.008714	150000	-2.375658	-642.876229
85	0.007334	150000	-2.217841	-645.094070
86	0.006093	150000	-2.028482	-647.122551
87	0.004988	150000	-1.765502	-648.888054
88	0.004013	150000	-1.633445	-650.521499
89	0.003162	150000	-1.507143	-652.028642
90	0.002430	150000	-1.318467	-653.347109
91	0.001810	150000	-1.120120	-654.467229
92	0.001296	150000	-0.961849	-655.429078
93	0.000882	150000	-0.797438	-656.226516
94	0.000559	150000	-0.658148	-656.884664
95	0.000320	150000	-0.501200	-657.385865
96	0.000156	150000	-0.403424	-657.789289
97	0.000057	150000	-0.412558	-658.201847
98	0.000010	150000	-0.499272	-658.701119
99	0.000000	150000	-0.195405	-658.896524
Log marginal likelihood:	-658.896524
